Edad_Bateria,Horas_Uso_Diario,Usuario_Gamer,Capacidad_Diseño,Ciclos_Carga,Uso_CPU,Uso_GPU,Consumo_Energia,Temperatura_Promedio,Capacidad_Carga_Completa,Salud_Bateria
5,9.797617008903616,0,57884,1267,64.58776449588228,43.88711526191389,84.3662450487442,35.645636071950946,44961.93522004144,76.92338257709525
9,7.101557272672039,0,63824,13986,45.54218224425829,36.53414366312722,80.62904183476913,31.782432087852875,46619.66559041969,73.496152972842
9,10.085255394050176,0,79414,1500,64.6405157397065,52.238348785351306,87.85350412712125,32.1228793567835,63343.41998870712,-10.0
5,7.946046718413227,0,61142,1153,55.09572397812439,30.53564718602928,69.68601165007384,30.371133284938274,50407.43883308225,79.74210025092489
-3,9.62846020534077,0,50956,6886,60.14575632672773,36.74948906827348,64.73412282343938,27.53623242464243,34757.37798214062,67.88255162043846
7,7.584192925395359,0,58928,1500,56.55680070189468,37.835722036407226,360.0,120.0,43334.54796203826,70.9800713998168
8,5.555551750372328,1,54721,1500,146.63296769851226,137.80304709474245,83.96047572386627,34.940726750781906,37844.84485433309,120.0
60,11.537404459187512,0,56157,1500,83.14206508610339,60.329309778944136,116.21284653167744,34.605075356973046,40967.42695067504,74.85030645839515
1,6.952252073667292,0,51696,161,54.52971187147074,33.19179191414493,76.28010661803394,28.87221518305992,50087.39442965896,96.91653395756144
9,7.655984703945922,0,72862,1500,55.02362911499729,41.23222168226808,95.9486671364876,29.6252799677292,55898.82990276597,75.86493478117586
0,3.425364033562242,0,50190,0,46.35339154129717,138.0135272548595,65.32287736762558,29.63778271292781,50123.80081295077,100.0
9,7.882158683700041,0,49663,1500,52.86429928903388,40.48713723918514,79.32347668173824,29.857824489519384,33855.22048348872,68.78859788209674
1,7.287684144312382,0,49331,226,54.495300059383645,40.30257003098451,70.63109617126108,32.05563728161366,45737.10274373349,93.43914879970792
1,3.033222377417274,0,73549,264,31.27951420508241,18.22321268585836,708.0,31.543483734296487,69903.54140381196,93.221087467003
2,1.6554580708845807,0,61246,667,27.264628820462026,18.821422440235835,37.35721724180869,,55375.467680621165,90.78005955837284
9,7.647952516862482,1,70761,1500,90.72034441964551,88.40297614010888,433.0,33.393977721957,54304.58227661913,77.01991360711747
6,9.400614962853526,0,48262,14978,64.74782169732443,37.755325959474085,79.24233845343825,31.07432382543351,-33205.86664043904,70.22577978647719
1,6.75741508014209,0,52036,9258,53.99604487728645,39.00166664257537,71.5050001982689,,50314.38870930116,96.578086756218
0,3.494498878516102,1,67322,33,59.72055444084756,57.37679082105872,75.91293834624996,28.75315380285117,67322.0,100.0
5,8.331741743623384,0,64131,1241,55.627957975797926,38.874820146063314,65.62433091993722,31.45447699781081,53075.08324347506,82.88392021268622
8,1.8811629927056248,0,49677,6906,32.59725276484314,24.64912588281932,52.14267452597935,27.00977958094477,34392.94928028384,68.51602482011441
2,5.8601707528215,0,52972,458,163.99831891070914,154.28183818014944,60.202241802270606,32.04851698256341,48728.58041035125,90.48464310046695
5,2.797034342382622,0,60329,1217,121.84885347742338,21.05356183199076,51.51601551351893,28.394786992137657,48049.8314436253,78.87553985569187
2,3.029049561658717,1,65493,547,,65.3274213709009,77.99441340621412,32.90117127410178,60001.66934949112,90.41691437950712
0,3.22523344074024,1,63595,12,65.95914760937595,62.80941057956714,93.02702969481832,29.49562374401937,63496.40792125787,99.61093737713178
4,5.253777627483757,0,66923,974,37.361561032506486,24.173012470820638,45.297745958433296,30.27133890622635,57309.38388425144,88.1648997122263
9,1.562652261824374,0,54735,1500,17.43243203027134,14.55093680458467,28.56280300585322,30.010078979781973,37269.61521487594,65.90204826926708
3,5.3757278502200805,0,79457,747,177.2404763696903,30.524331797999352,41.83627742402515,25.783747275821067,72191.87526441779,-10.0
6,6.628781918261709,0,52727,1497,36.131446923665095,158.85513532810845,52.38580489395435,28.96385717260496,37556.33880530102,70.87595427012037
5,6.316237134629577,0,52764,1263,49.63656925500276,33.32354069575119,577.0,31.91587068138694,40445.64065218376,74.60947231157942
9,5.210625104433446,0,72599,1500,42.93784650587368,35.389670777785575,74.63618980374711,31.73863090452509,55636.859755107726,75.16294388199799
6,10.230612688778278,1,45818,1404,94.38904565071208,84.91856327138817,121.68524905380865,34.055713755870734,31058.459952503348,68.29533014772989
4,2.598593616625545,1,78892,1065,127.34802697833608,55.594266820364886,65.79844392523061,,68556.57145802093,86.82036351264095
3,6.562664181595114,0,50660,709,47.216716384643576,29.63219897221962,69.89713086276734,31.09829636085677,43869.816350640336,
6,1.6824555865220971,0,74521,1492,19.46664104487378,163.3013034736898,41.6384414521609,29.03618317134003,59101.85272640411,80.19557741753717
6,1.7827124676570072,0,79470,1500,24.8364254757765,26.41158763789336,44.85562382688187,-20.0,-65525.36574697516,84.46684892143591
-3,7.312524346448059,0,63385,1244,185.26566808202364,33.12502222302697,76.4108283830104,120.0,51982.879535479966,82.57987692648085
7,7.22620267376603,0,68296,1500,51.69327413527325,44.77979399611833,78.32941897369123,-5.0,51530.13902139476,77.2586531263146
3,10.658368641289028,0,68616,803,67.51320027977143,47.2158771256007,99.80825107295033,33.199997597246025,60070.37844010547,87.70634225527678
9,7.136610432260805,0,71382,11931,48.92040879884779,33.12503723927491,54.66965322736186,24.830163222190144,54974.96601957584,77.60081140876422
4,11.557701224453352,0,56139,1072,74.18096923945495,48.28557018109146,78.03192417634149,33.677576050811936,45859.6170776068,150.0
3,1.5356433323992276,0,77060,802,26.58371587665369,17.81654591266098,35.586666876463035,26.652647243434465,-70849.87197807558,92.36801527570374
0,2.078084532588152,1,67419,109,52.76657693710127,53.912041295362734,76.33579472441217,31.24034422381272,66659.71542404681,99.18229571896364
7,1.4847244772741952,0,72785,1500,,13.7351688951778,54.21355579272064,30.086813021686385,57191.87392454836,81.30793223720356
0,3.03804535366894,0,60702,82,,16.34296410421831,764.0,25.461046646824016,59135.57175312831,98.46662267716437
4,6.953971220358459,0,74217,1033,43.35053669175944,37.40984242283006,59.89760978200482,29.214203767520942,62684.68528361684,83.790275809822
5,8.101293995701708,0,57397,1170,60.38919235427758,46.52997841413021,82.83684008774864,34.26209539168782,45430.06220313344,82.66572407502923
5,1.5014367374353568,1,71940,1094,62.78944034045673,,96.93841264103492,34.933791803286255,62333.90815357977,86.08149872568897
4,11.405679788301592,0,73341,952,71.58792048819524,49.535480495000336,69.82615978590002,30.00537428910533,-63555.58501891552,86.64980422269848
2,10.263819143154192,0,55067,13952,,45.80186187950837,672.0,33.67138927573795,49312.81468977919,88.3046280762455
4,4.2627373037280245,0,58824,1026,35.248655710663385,21.56642328189488,46.6906746198657,30.43030387550868,48977.65551800203,84.33701708725923
7,1.849062832491148,0,58444,1500,27.34834293645225,14.608434055578314,42.89382507797949,30.02450889189061,41339.54780167451,73.26895778321379
1,2.86875780540963,0,78307,246,31.89768166029721,25.19803361513168,63.08373886564446,27.754648254285957,75902.43218988446,94.6925585673132
0,2.3963885513047,0,55974,1242,174.17019908591215,130.49676082146178,35.82121072313297,31.14799739832959,44197.50254737954,78.54471567103012
